,marketSegment,name,slug,ticker,totalSupply
118,Ethereum,Vodi X,vodi-x,VDX,1397703182.841116
119,,BidiPass,bidipass,BDP,1500000000
120,,Wavesbet,wavesbet,WBET,59499999948
121,,Digital Fantasy Sports,digital-fantasy-sports,DFS,50000000
122,Blockchain Service,QLC Chain,qlink,QLC,600000000
123,,Netbox Coin,netbox-coin,NBX,77023703.14072871
124,,Emirex Token,emirex,EMRX,500000000
125,,Amino Network,amino,AMIO,1000000000
126,,NSS Coin,nss,NSS,100000000
127,,xCrypt Token,xcrypt,XCT,200000000
128,Ethereum,Sentinel Protocol,sentinel-protocol,UPP,500000000.00000006
129,,En-Tan-Mo,en-tan-mo,ETM,210000000
130,,Decentralized Vulnerability Platform,decentralized-vulnerability-platform,DVP,5000000000
131,,Aitheon,aitheon,ACU,17094865.02285714
132,Protocol,ChatCoin,chatcoin,CHAT,1000000000
133,Polkadot,Ankr,ankr,ANKR,10000000000
134,Trading,CNNS,cnns,CNNS,10000000000
135,Ethereum,Molecular Future,molecular-future,MOF,100000000
136,Ethereum,Atlas Token,atlas-token,ATLS,875000000
137,Art,Artfinity,artfinity,AT,1000000000
138,DeFi,0x,0x,ZRX,1000000000
139,Ethereum,SIRIN LABS Token,sirin-labs-token,SRN,572166103.886
140,Ethereum,Xtock,xtock,XTX,7840860587.1485
141,Ethereum,WHEN Token,when-token,WHEN,875000000
142,Financial,Safe Exchange,safe-exchange-coin,SAFEX,785836169
143,Ethereum,VNT Chain,vnt-chain,VNT,10000000000
144,Ethereum,Spiking,spiking,SPIKE,5000000000
145,Ethereum,GoPower,gopower,GPT,111227045.9
146,Cloud Storage,Flowchain,flowchain,FLC,1000000000
147,Blockchain Network,Trias,trias,TRY,10000000000
148,Gaming,BitGuild PLAT,bitguild-plat,PLAT,9096679264
149,Financial,QuickX Protocol,quickx-protocol,QCX,500000000
150,Financial,OMG Network,omisego,OMG,140245398.24513277
151,AI,PATHHIVE,phv,PHV,3500000000
152,Binance,BOLT,bolt,BOLT,995000000
153,Exchange,TOKOK,tokok,TOK,998617461.09785
154,Exchange,INMAX,inmax,INX,6500000
155,Binance,Lambda,lambda,LAMB,6000000000
156,Advertising,Birdchain,birdchain,BIRD,287504829.4830753
157,Ethereum,Contents Protocol,contents-protocol,CPT,10000000000
158,Ethereum,AdEx,adx-net,ADX,114712467.24556045
159,NFT,Ultra,ultra,UOS,1000000000
160,Ethereum,P2P Global Network,p2p-global-network,P2PX,100000000
161,Ethereum,Airline & Life Networking Token,airline-and-life-networking-token,ALLN,3500000000
162,Ethereum,Paragon,paragon,PRG,164936509.401132
